ID_Cliente,Gasto_Total,Frecuencia_Compra,Valor_Promedio_Pedido,Dias_Ultima_Compra,Ingreso_Anual,Region
100000,600,6,100,64,30000,Centro
100001,723,5,144.6,76,64939,Oeste
100002,4512,100,45.12,68,110562,Centro
100003,1547,23,67.26,73,94871,Oeste
100004,459,4,114.75,58,72084,Norte
100005,1680,22,76.36,66,127213,Norte
100006,3814,76,50.18,86,129466,Este
100007,1503,11,136.64,77,64296,Este
100008,810,9,90,72,40158,Sur
100009,8238,98,84.06,88,30000,Este
100010,734,5,146.8,67,99626,Sur
100011,230,2,115,75,123442,Sur
100012,841,6,140.17,92,76222,Oeste
100013,842,8,105.25,86,94828,Norte
100014,2476,27,91.7,83,105514,Este
100015,615,6,102.5,70,38165,Centro
100016,10011,118,84.84,67,63395,Centro
100017,410,5,82,78,75095,Oeste
100018,5293,60,88.22,75,72748,Norte
100019,693,6,115.5,65,30000,Sur
100020,1195,23,51.96,68,129082,Centro
100021,1296,14,92.57,73,30000,Norte
100022,55,1,55,72,133558,Centro
100023,2292,34,67.41,73,71631,Este
100024,669,13,51.46,96,73885,Centro
100025,953,9,105.89,81,57050,Centro
100026,1886,16,117.88,76,72384,Sur
100027,1330,16,83.12,65,76184,Norte
100028,566,5,113.2,83,140635,Norte
100029,4471,41,109.05,80,54667,Este
100030,12489,129,96.81,72,54974,Sur
100031,6317,65,97.18,79,122526,Sur
100032,2876,20,143.8,72,61256,Oeste
100033,2819,34,82.91,77,101640,Centro
100034,314,2,157,69,30000,Oeste
100035,1214,12,101.17,71,88752,Este
100036,309,7,44.14,64,97603,Norte
100037,763,12,63.58,66,128214,Centro
100038,18277,135,135.39,78,77846,Sur
100039,24958,233,107.12,79,59629,Centro
100040,1280,27,47.41,76,171306,Este
100041,823,10,82.3,70,62539,Centro
100042,1383,25,55.32,65,141322,Sur
100043,3448,24,143.67,67,34009,Centro
100044,2880,24,120,69,45616,Sur
100045,554,5,110.8,85,30000,Sur
100046,2495,34,73.38,76,56507,Norte
100047,735,8,91.88,65,115021,Centro
100048,1144,11,104,77,30000,Sur
100049,2118,18,117.67,79,92372,Norte
100050,1535,12,127.92,85,93284,Sur
100051,1770,13,136.15,78,97475,Este
100052,1337,10,133.7,83,112748,Norte
100053,85,1,85,93,68053,Norte
100054,262,2,131,69,85998,Sur
100055,906,10,90.6,88,30000,Este
100056,3440,79,43.54,76,106614,Sur
100057,116,2,58,76,54544,Sur
100058,352,6,58.67,76,102870,Centro
100059,1570,35,44.86,75,90917,Este
100060,2508,38,66,91,120849,Este
100061,1731,13,133.15,84,80276,Centro
100062,20923,146,143.31,77,68334,Norte
100063,251,2,125.5,68,37883,Sur
100064,1119,8,139.88,81,83792,Centro
100065,2114,19,111.26,70,86647,Este
100066,483,11,43.91,57,124371,Centro
100067,154,1,154,65,105227,Norte
100068,3052,26,117.38,88,127288,Norte
100069,1161,24,48.38,86,135709,Este
100070,7518,56,134.25,78,49587,Sur
100071,901,8,112.62,67,57488,Sur
100072,949,7,135.57,79,132158,Norte
100073,3382,30,112.73,85,196072,Sur
100074,1363,15,90.87,75,31015,Centro
100075,36529,329,111.03,87,102554,Sur
100076,764,10,76.4,85,107614,Centro
100077,1638,15,109.2,74,30000,Oeste
